summary,description,type,priority,estimation,tags
"[Epic] Security and Auth Foundation","All work surfacing Firebase Auth in the UI, fixing global Firestore collections, and ensuring GDPR-compliant account deletion. Lifetime: Phase A only — Phase B replaces Firebase Auth with Rails Devise+JWT.",Epic,Critical,32,"Phase-A,Epic"
"[Epic] Architecture Hardening","Repository interfaces, Hilt DI migration, ProGuard/R8 fixes, removal of Android-15-only API requirements. Prepares the codebase for Phase B Rails migration with minimal pain.",Epic,Critical,28,"Phase-A,Epic"
"[Epic] First-Run Experience","60-second onboarding flow per BIBLE 5.6 — philosophy beat, first-intention input, optional permissions, drop into Today screen.",Epic,High,24,"Phase-A,Epic"
"[Epic] Internationalization","Externalize every user-facing string. EN + JP for Phase A. Locale-aware dates, plurals, currency.",Epic,High,32,"Phase-A,Epic"
"[Epic] Quality and Observability","Sentry/Crashlytics integration, custom analytics events, GitHub Actions CI, ktlint/detekt config, performance traces.",Epic,High,26,"Phase-A,Epic"
"[Epic] Visual Polish (Screen Quality Bar)","Audit every screen against the Quality Bar; codify design tokens; achieve screenshot-ready polish across Timeline, HyperFocus, Calendar, Analytics, Settings.",Epic,High,90,"Phase-A,Epic"
"[Epic] Compliance and Launch Prep","Privacy Policy, Terms of Service, age gate, trademark notices, Play Store legal requirements.",Epic,Critical,28,"Phase-A,Epic"
"[Epic] Marketing Site and Store Assets","One-page marketing site, domain, waitlist, Play Store listing copy, screenshots, feature graphic, trailer.",Epic,High,24,"Phase-A,Epic"
"[Epic] Beta Operation","Closed beta intake, daily triage, mid-week patches, perf hardening, soft launch.",Epic,High,36,"Phase-A,Epic"
"Record 5-minute walkthrough video on a real device","Baseline self-review recording before any polish work begins. Output: video file + 10-line written observations.",Task,High,1,"Phase-A,W1"
"Build the Screen Quality Bar audit checklist","Translate BIBLE 'Screen Quality Bar' into a single-page checklist used to grade every screen.",Task,High,1.5,"Phase-A,W1"
"Audit every screen against the Quality Bar","Output: QA debt list (estimated 30-50 child tickets) covering empty states, loading states, error states, animation timing, accessibility, dark-mode parity.",Task,High,4,"Phase-A,W1"
